Question,Response,Intent,Confidence,Date,Time
hello,Hello! Welcome to Galgotias University AI Assistant. How can I help you today?,greeting,direct,06-06-2026,00:43:38
admission,Students can apply online through the Galgotias University admission portal. Admission is based on eligibility criteria and entrance requirements.,admission,0.9196,06-06-2026,00:44:23
tell me about admissions,Students can apply online through the Galgotias University admission portal. Admission is based on eligibility criteria and entrance requirements.,admission,0.2345,06-06-2026,00:45:30
what courses are available?,"Galgotias University offers a wide range of undergraduate and postgraduate programs including BTech, BCA, MCA, MBA, BBA, Law, Agriculture, Pharmacy, Nursing, Design, Aviation, Hospitality, Data Science, Artificial Intelligence, Cyber Security and many other professional and technical courses across multiple schools and departments.",courses,0.7428,06-06-2026,00:45:33
tell me about galgotias university,"Galgotias University is a multidisciplinary private university located in Greater Noida, Uttar Pradesh. It offers undergraduate, postgraduate and doctoral programs across Engineering, AI, Computer Applications, Business, Law, Agriculture, Design and many other disciplines.",about_university,0.4579,06-06-2026,00:51:41
hostel facilities,"Galgotias University provides separate hostel facilities for boys and girls with WiFi, dining hall, gym, laundry and 24x7 security.",hostel,0.3536,06-06-2026,00:52:03
tell me about placements,"Galgotias University has a dedicated Training and Placement Cell that helps students with internships, skill development and campus recruitment. Major recruiters include Accenture, Infosys, Cognizant, Capgemini, Wipro, TCS, Amazon and many other national and multinational companies. The university regularly conducts placement drives, aptitude training, mock interviews and career development programs to improve student employability.",placement,0.1182,06-06-2026,00:53:35
hostel facilities,"Galgotias University provides separate hostel facilities for boys and girls with WiFi, dining hall, gym, laundry and 24x7 security.",hostel,0.3536,06-06-2026,00:53:45
tell me about galgotias university,"Galgotias University is a multidisciplinary private university located in Greater Noida, Uttar Pradesh. It offers undergraduate, postgraduate and doctoral programs across Engineering, AI, Computer Applications, Business, Law, Agriculture, Design and many other disciplines.",about_university,0.4579,06-06-2026,00:53:47
tell me about admissions,Students can apply online through the Galgotias University admission portal. Admission is based on eligibility criteria and entrance requirements.,admission,0.2345,06-06-2026,00:53:50
where is galgotias university located?,"Galgotias University is located at Plot No. 2, Sector-17A, Yamuna Expressway, Greater Noida, Uttar Pradesh, India. The campus is well connected by road and can be reached easily from Noida, Delhi, and nearby cities. The nearest metro station is Knowledge Park II.",location,0.2471,06-06-2026,00:53:53
hostel facilities,"Galgotias University provides separate hostel facilities for boys and girls with WiFi, dining hall, gym, laundry and 24x7 security.",hostel,0.3536,06-06-2026,00:58:27
where is galgotias university located?,"Galgotias University is located at Plot No. 2, Sector-17A, Yamuna Expressway, Greater Noida, Uttar Pradesh, India. The campus is well connected by road and can be reached easily from Noida, Delhi, and nearby cities. The nearest metro station is Knowledge Park II.",location,0.2471,06-06-2026,01:16:43
tell me about admissions,Students can apply online through the Galgotias University admission portal. Admission is based on eligibility criteria and entrance requirements.,admission,0.2345,06-06-2026,01:31:54
tell me about admissions,Students can apply online through the Galgotias University admission portal. Admission is based on eligibility criteria and entrance requirements.,admission,0.2345,06-06-2026,10:17:39
hostel facilities,"Galgotias University provides separate hostel facilities for boys and girls with WiFi, dining hall, gym, laundry and 24x7 security.",hostel,0.3536,06-06-2026,10:18:28
where is galgotias university located?,"Galgotias University is located at Plot No. 2, Sector-17A, Yamuna Expressway, Greater Noida, Uttar Pradesh, India. The campus is well connected by road and can be reached easily from Noida, Delhi, and nearby cities. The nearest metro station is Knowledge Park II.",location,0.2471,06-06-2026,10:18:50
hostel fee,"Galgotias University provides AC and Non-AC hostel facilities for boys and girls. Hostel fees depend on room type and facilities. Approximate hostel fees range from ₹90,000 to ₹1,60,000 per year including accommodation and mess facilities.",hostel_fee,0.6769,06-06-2026,10:19:01
club,"Galgotias University has many student clubs and societies including coding clubs, robotics clubs, AI clubs, dance clubs, music clubs, drama societies, photography clubs, entrepreneurship cells, NSS, NCC and cultural societies. Students can participate in technical events, hackathons, fests, competitions and extracurricular activities for personality development and networking.",clubs,0.8317,06-06-2026,10:19:09
tell me about admissions,Students can apply online through the Galgotias University admission portal. Admission is based on eligibility criteria and entrance requirements.,admission,0.2345,06-06-2026,23:34:42
what courses are available?,"Galgotias University offers a wide range of undergraduate and postgraduate programs including BTech, BCA, MCA, MBA, BBA, Law, Agriculture, Pharmacy, Nursing, Design, Aviation, Hospitality, Data Science, Artificial Intelligence, Cyber Security and many other professional and technical courses across multiple schools and departments.",courses,0.7428,06-06-2026,23:34:46
tell me about placements,"Galgotias University has a dedicated Training and Placement Cell that helps students with internships, skill development and campus recruitment. Major recruiters include Accenture, Infosys, Cognizant, Capgemini, Wipro, TCS, Amazon and many other national and multinational companies. The university regularly conducts placement drives, aptitude training, mock interviews and career development programs to improve student employability.",placement,0.1182,06-06-2026,23:34:50
hostel facilities,"Galgotias University provides separate hostel facilities for boys and girls with WiFi, dining hall, gym, laundry and 24x7 security.",hostel,0.3536,06-06-2026,23:34:55
tell me about galgotias university,"Galgotias University is a multidisciplinary private university located in Greater Noida, Uttar Pradesh. It offers undergraduate, postgraduate and doctoral programs across Engineering, AI, Computer Applications, Business, Law, Agriculture, Design and many other disciplines.",about_university,0.4579,06-06-2026,23:34:59
where is galgotias university located?,"Galgotias University is located at Plot No. 2, Sector-17A, Yamuna Expressway, Greater Noida, Uttar Pradesh, India. The campus is well connected by road and can be reached easily from Noida, Delhi, and nearby cities. The nearest metro station is Knowledge Park II.",location,0.2471,06-06-2026,23:35:02
